algo,users,traffic,weight_name,blocking_rate_mean,blocking_rate_std,spectral_efficiency_mean,spectral_efficiency_std,energy_efficiency_mean,energy_efficiency_std,total_power_mean,total_power_std,qos_violations_mean,qos_violations_std,episode_reward_mean,episode_reward_std,invalid_action_rate_mean,invalid_action_rate_std,selector_evaluated_actions_mean,selector_evaluated_actions_std
greedy_z,75,hotspot,equal,0.004444444444444433,0.007698003589194991,291.8507841388962,17.328303970024834,2.1504094034343946,0.24552117390197667,137.45172092851885,22.797348608645464,0.0,0.0,,,,,,
greedy_z,75,uniform,equal,0.0,0.0,447.8153212081704,7.920491191814746,1.7910964411957664,0.11956330313052085,250.9852929248269,21.624828560028583,0.0,0.0,,,,,,
greedy_z,100,hotspot,equal,0.07333333333333333,0.015275252316519466,348.7364894979784,18.8053809611849,1.4268221454562777,0.2949372221939469,254.37271881154967,72.53888562761867,0.0,0.0,,,,,,
greedy_z,100,uniform,equal,0.0,0.0,519.096344673429,3.1241626921940493,1.8889292830391462,0.1544066436121987,275.98529292482687,21.6248285600286,0.0,0.0,,,,,,
greedy_z,125,hotspot,equal,0.15466666666666665,0.01847520861406803,400.99476904606536,10.82468808619735,1.257564916297252,0.20862815133498938,326.4370138533457,68.45533284439638,0.0,0.0,,,,,,
greedy_z,125,uniform,equal,0.0,0.0,571.4907763764405,1.0334987620291423,1.9052614593599202,0.13645471368700948,300.98529292482687,21.624828560028547,0.0,0.0,,,,,,
greedy_z,150,hotspot,equal,0.24666666666666662,0.006666666666666654,423.42019627472433,3.581752790196071,1.282416424943315,0.22455096820438325,337.4911064067351,62.69997438568752,0.0,0.0,,,,,,
greedy_z,150,uniform,equal,0.0,0.0,615.9646559262815,5.265295637922041,1.8955573838745428,0.13598311291049262,325.98529292482687,21.62482856002859,0.0,0.0,,,,,,
greedy_z,200,hotspot,equal,0.36000000000000004,0.034999999999999976,464.42443097975746,10.878698477683406,1.3427791904451825,0.21870792818119653,352.4911064067351,61.40041227302379,0.0,0.0,,,,,,
greedy_z,200,uniform,equal,0.0,0.0,683.2844911373217,8.41401126833464,1.8149754104143325,0.11936134005884552,377.4268113649391,21.940045497548546,0.0,0.0,,,,,,
